Order Number at CW;Article Number;Order Line Number;Material;Material;Route;Route;Route Serial Number;Timestamp for Picking;Box number;Area;Station;Number of lots-white;Number of lots-Green;No. of picks;Quantity
150403;7936017490;5;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:24:53;200052548;27;23;0;6;1;71
150403;7936017490;6;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:18:45;200050805;27;23;0;6;1;71
150403;7936017490;7;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:20:27;200050600;27;23;0;6;1;26
150404;7936017474;1;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:21:42;200025008;27;23;0;3;1;50
150404;7936017474;2;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:35:06;200040141;27;23;0;3;1;32
150404;7936017490;3;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:16:30;200054564;27;23;0;3;1;71
150404;7936017490;4;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:35:06;200040141;27;23;0;3;1;11
150405;7936017474;2;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:53:31;200085244;27;23;0;5;1;50
150405;7936017474;3;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;12:11:51;200079742;27;23;0;5;1;50
150405;7936017474;4;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:35:03;200080248;27;23;0;5;1;23
150405;7936017490;5;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:34:20;200062870;27;23;0;5;1;71
150405;7936017490;6;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:35:52;200087078;27;23;0;5;1;52
150405;7936017568;1;1000480212;TRUNKING CONSOLE 170-210 MM TYPE 1;9D;9D;Not assigned;11:35:03;200080248;27;23;0;5;1;25
150406;7936017474;1;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:48:56;200051649;27;23;0;6;1;50
150406;7936017474;2;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:26:14;200082310;27;23;0;6;1;50
150406;7936017474;3;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:17:08;200058743;27;23;0;6;1;50
150406;7936017474;4;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:39:49;200026066;27;23;0;6;1;18
150406;7936017490;5;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:40:32;200034730;27;23;0;6;1;71
150406;7936017490;6;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:32:06;200081210;27;23;0;6;1;71
150406;7936017490;7;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:39:49;200026066;27;23;0;6;1;26
150407;5417242663;3;1000426733;CONTROL AND LOAD SWITCH 194L-A25-7323;9H;9H;Not assigned;11:45:29;200079600;28;23;0;1;1;1
150407;5417251104;2;1000427297;LOAD SWITCH HANDLE 194L-HE6A-732;9H;9H;Not assigned;11:45:29;200079600;29;23;0;1;1;1
150407;5417252433;1;1000227674;METRIC ABS ENCLOSURE 194L-G3573M;9H;9H;Not assigned;11:45:29;200079600;28;23;0;1;1;1
150407;813103123;4;1000223824;116 M20 LGR PA LOCKNUT;9H;9H;Not assigned;11:45:29;200079600;25;23;0;1;1;3
150407;813103204;5;1000389514;V-TEC VM20 LGR CABLE GLAND;9H;9H;Not assigned;11:45:29;200079600;25;23;0;1;1;3
150408;7936017474;1;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;12:00:43;200078344;27;23;0;3;1;50
150408;7936017474;2;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:35:59;200080724;27;23;0;3;1;32
150408;7936017490;3;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:33:56;200072467;27;23;0;3;1;71
150408;7936017490;4;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:35:59;200080724;27;23;0;3;1;11
150409;7936017474;1;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:29:59;200041334;27;23;0;3;1;50
150409;7936017474;2;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:21:39;200008893;27;23;0;3;1;32
150409;7936017490;3;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:35:51;200024559;27;23;0;3;1;71
150409;7936017490;4;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:21:39;200008893;27;23;0;3;1;11
150410;7936017474;1;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:23:25;200054552;27;23;0;3;1;50
150410;7936017474;2;1000480203;TRUNKING CONSOLE VB 170;9D;9D;Not assigned;11:23:19;200081045;27;23;0;3;1;32
150410;7936017490;3;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:24:08;200080311;27;23;0;3;1;71
150410;7936017490;4;1000480205;TRUNKING CONSOLE 110-170 MM;9D;9D;Not assigned;11:23:19;200081045;27;23;0;3;1;11
150411;5465600105;1;1000456325;SOFTSTARTER  690V 25A STL3-6925;9J;9J;Not assigned;11:03:02;200018476;28;23;0;1;1;2
150411;7613023422;2;1000474114;DUST CAP M20;9J;9J;Not assigned;11:03:02;200018476;29;23;0;1;1;100
150412;3322060851;18;1000418964;MCB IC60N 2P 6A C;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;3322060864;16;1000418965;MCB IC60N 2P 10A C;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;3322060877;19;1000418966;MCB IC60N 2P 13A C;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;3322061025;17;1000418981;MCB IC60N 3P 13A C;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;6
